airport_id,name,city,country,iata,latitude,longitude
3243,Moses Kilangin Airport,Timika,Indonesia,TIM,-4.528279781341553,136.88699340820312
3244,Sentani International Airport,Jayapura,Indonesia,DJJ,-2.5769500733,140.5160064698
3245,Wamena Airport,Wamena,Indonesia,WMX,-4.10251,138.957001
3246,Mopah Airport,Merauke,Indonesia,MKQ,-8.52029037475586,140.41799926757812
3247,Jalaluddin Airport,Gorontalo,Indonesia,GTO,0.63711899519,122.849998474
3249,Mutiara Airport,Palu,Indonesia,PLW,-0.9185420274734496,119.91000366210938
3250,Sam Ratulangi Airport,Manado,Indonesia,MDC,1.5492600202560425,124.9260025024414
3251,Kasiguncu Airport,Poso,Indonesia,PSJ,-1.41674995422,120.657997131
3252,Pitu Airport,Morotai Island,Indonesia,OTI,2.0459899902300003,128.324996948
3253,Sultan Khairun Babullah Airport,Ternate,Indonesia,TTE,0.831413984298706,127.38099670410156
3254,Syukuran Aminuddin Amir Airport,Luwuk,Indonesia,LUW,-1.03892,122.772003
3256,"Pattimura Airport, Ambon",Ambon,Indonesia,AMQ,-3.7102599144,128.089004517
3257,Fakfak Airport,Fak Fak,Indonesia,FKQ,-2.9201900959014893,132.26699829101562
3258,Kaimana Airport,Kaimana,Indonesia,KNG,-3.6445200443267822,133.6959991455078
3259,Babo Airport,Babo,Indonesia,BXB,-2.5322399139404297,133.43899536132812
3260,Rendani Airport,Manokwari,Indonesia,MKW,-0.8918330073356628,134.0489959716797
3261,Dominique Edward Osok Airport,Sorong,Indonesia,SOQ,-0.894,131.287
3262,Bintulu Airport,Bintulu,Malaysia,BTU,3.12385010719,113.019996643
3263,Kuching International Airport,Kuching,Malaysia,KCH,1.4846999645233154,110.34700012207033
3264,Limbang Airport,Limbang,Malaysia,LMN,4.808300018310547,115.01000213623048
3265,Marudi Airport,Marudi,Malaysia,MUR,4.178979873657227,114.3290023803711
3266,Miri Airport,Miri,Malaysia,MYY,4.322010040283203,113.98699951171876
3267,Sibu Airport,Sibu,Malaysia,SBW,2.2616000175476074,111.98500061035156
3268,Lahad Datu Airport,Lahad Datu,Malaysia,LDU,5.032249927520752,118.3239974975586
3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,5.9372100830078125,116.0510025024414
3270,Labuan Airport,Labuan,Malaysia,LBU,5.300680160522461,115.25
3271,Tawau Airport,Tawau,Malaysia,TWU,4.320159912109375,118.12799835205078
3272,Brunei International Airport,Bandar Seri Begawan,Brunei,BWN,4.944200038909912,114.9280014038086
3273,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,PKU,0.4607860147953033,101.44499969482422
